book,player_name,team,position,odds,implied_prob,model_prob,fair_odds,ev_pct,other_books_implied,other_books,gap_pp,implied_team_total,carry_share,target_share,td_share,games,last_game,last_snap_pct,new_team,confidence,check_reason
draftkings,Tyrone Tracy,nyg,RB,1600,0.059,0.173,478,194.3,0.105,3,6.8,20.5,0.39,0.108,0.09,33,2026 wk1 nyg,3.0,False,check,3% snaps last game
draftkings,Devin Singletary,nyg,RB,600,0.143,0.226,343,57.9,0.148,4,7.7,20.5,0.26,0.063,0.192,111,2026 wk1 nyg,36.0,False,clean,
draftkings,Najee Harris,nyg,RB,1000,0.091,0.139,618,53.3,0.089,4,5.0,20.5,0.372,0.067,0.083,71,2025 wk3 lac,13.0,True,check,no game this season; 13% snaps last game; new team
caesars,Najee Harris,nyg,RB,1000,0.091,0.139,618,53.3,0.089,4,5.0,20.5,0.372,0.067,0.083,71,2025 wk3 lac,13.0,True,check,no game this season; 13% snaps last game; new team
caesars,Devin Singletary,nyg,RB,550,0.154,0.226,343,46.6,0.143,4,8.3,20.5,0.26,0.063,0.192,111,2026 wk1 nyg,36.0,False,clean,
draftkings,Puka Nacua,lar,WR,190,0.345,0.459,118,33.2,0.565,1,-10.6,28.0,0.022,0.307,0.205,45,2026 wk1 lar,70.0,False,clean,
draftkings,Davis Allen,lar,TE,1400,0.067,0.086,1067,28.5,0.073,4,1.3,28.0,0.0,0.053,0.019,48,2026 wk1 lar,34.0,False,clean,
caesars,Theo Johnson,nyg,TE,800,0.111,0.135,642,21.3,0.111,5,2.4,20.5,0.0,0.15,0.062,28,2026 wk1 nyg,46.0,False,clean,
draftkings,Theo Johnson,nyg,TE,800,0.111,0.135,642,21.3,0.111,5,2.4,20.5,0.0,0.15,0.062,28,2026 wk1 nyg,46.0,False,clean,
caesars,Davis Allen,lar,TE,1200,0.077,0.086,1067,11.4,0.071,4,1.4,28.0,0.0,0.053,0.019,48,2026 wk1 lar,34.0,False,clean,
caesars,Ronnie Rivers,lar,RB,2000,0.048,0.051,1848,7.8,0.043,5,0.8,28.0,0.06,0.008,0.0,46,2026 wk1 lar,13.0,False,check,13% snaps last game
draftkings,Matthew Stafford,lar,QB,2200,0.043,0.046,2066,6.2,0.048,5,-0.1,28.0,0.048,0.0,0.0,211,2026 wk1 lar,84.0,False,clean,
