first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,ppg_projection,value_projection,ppg_actual,value_actual
Jaxon,Smith-Njigba,WR,,15,2025-12-14,Thu-Mon,SEA,IND,-13.5,42.5,28,8600,30,23.3,24.7,24.0,24.7,2.87
Christian,McCaffrey,RB,,15,2025-12-14,Thu-Mon,SF,TEN,-12.5,44.5,28.5,9000,22,26.9,26.5,25.7,24.4,2.71
Josh,Allen,QB,,15,2025-12-14,Thu-Mon,BUF,NE,-0.5,49.5,25,7500,16,27.5,25.4,25.5,23.0,3.07
Puka,Nacua,WR,,15,2025-12-14,Thu-Mon,LAR,DET,-5.5,55.5,30.5,8700,27,20.3,21.8,22.7,22.8,2.62
Lamar,Jackson,QB,,15,2025-12-14,Thu-Mon,BAL,CIN,-2.5,52.5,27.5,6400,30,12.4,18.3,18.3,22.6,3.53
Jahmyr,Gibbs,RB,,15,2025-12-14,Thu-Mon,DET,LAR,+5.5,55.5,25,8800,4,27.9,24.8,23.6,22.5,2.56
De'Von,Achane,RB,Q,15,2025-12-15,Thu-Mon,MIA,PIT,+3.5,41.5,19,8900,11,24.9,22.5,21.8,21.9,2.46
Patrick,Mahomes,QB,,15,2025-12-14,Thu-Mon,KC,LAC,-4.5,41.5,23,6500,2,17.1,22.6,22.2,21.4,3.30
Jalen,Hurts,QB,,15,2025-12-14,Thu-Mon,PHI,LV,-11.5,38.5,25,6800,17,16.4,19.5,20.1,21.2,3.12
Jaxson,Dart,QB,,15,2025-12-14,Thu-Mon,NYG,WAS,-2.5,47.5,25,5600,27,23.4,17.9,17.9,20.8,3.71
Ja'Marr,Chase,WR,,15,2025-12-14,Thu-Mon,CIN,BAL,+2.5,52.5,25,8100,24,15.7,19.4,19.8,20.7,2.55
Matthew,Stafford,QB,,15,2025-12-14,Thu-Mon,LAR,DET,-5.5,55.5,30.5,7000,26,20.2,22.5,20.9,20.5,2.93
Bijan,Robinson,RB,,15,2025-12-11,Thu-Mon,ATL,TB,+4.5,43.5,19.5,8200,21,20.5,21.8,21.9,20.4,2.49
Drake,Maye,QB,,15,2025-12-14,Thu-Mon,NE,BUF,+0.5,49.5,24.5,6700,5,18.1,20.3,20.6,19.9,2.97
Brock,Purdy,QB,,15,2025-12-14,Thu-Mon,SF,TEN,-12.5,44.5,28.5,6200,24,17.8,18.3,17.8,19.8,3.20
Dak,Prescott,QB,,15,2025-12-14,Thu-Mon,DAL,MIN,-5.5,47.5,26.5,6900,3,21.2,22.8,21.8,19.6,2.84
Jayden,Daniels,QB,Q,15,2025-12-14,Thu-Mon,WAS,NYG,+2.5,47.5,22.5,6000,28,15.9,19.1,17.0,19.4,3.23
Baker,Mayfield,QB,,15,2025-12-11,Thu-Mon,TB,ATL,-4.5,43.5,24,6000,19,14.8,16.0,17.0,19.2,3.20
Joe,Burrow,QB,,15,2025-12-14,Thu-Mon,CIN,BAL,+2.5,52.5,25,6600,20,14.9,21.1,15.1,19.1,2.89
Amon-Ra,St. Brown,WR,,15,2025-12-14,Thu-Mon,DET,LAR,+5.5,55.5,25,7900,19,14.9,17.7,18.9,19.0,2.40
Sam,Darnold,QB,,15,2025-12-14,Thu-Mon,SEA,IND,-13.5,42.5,28,5800,18,12.2,17.1,16.3,18.2,3.13
Trey,McBride,TE,,15,2025-12-14,Thu-Mon,ARI,HOU,+9.5,42.5,16.5,7400,5,22.2,20.0,18.5,17.9,2.42
Derrick,Henry,RB,,15,2025-12-14,Thu-Mon,BAL,CIN,-2.5,52.5,27.5,7300,32,17.2,15.5,15.6,17.6,2.42
Justin,Herbert,QB,,15,2025-12-14,Thu-Mon,LAC,KC,+4.5,41.5,18.5,6300,15,15.2,18.4,19.5,17.6,2.80
Rashee,Rice,WR,,15,2025-12-14,Thu-Mon,KC,LAC,-4.5,41.5,23,7700,2,18.5,19.2,20.1,17.6,2.29
Jared,Goff,QB,,15,2025-12-14,Thu-Mon,DET,LAR,+5.5,55.5,25,6100,11,19.8,17.6,18.7,17.5,2.87
Javonte,Williams,RB,,15,2025-12-14,Thu-Mon,DAL,MIN,-5.5,47.5,26.5,6400,12,13.1,15.8,16.9,17.4,2.72
